ID,X,Y,W,X,Y,Z
0,4.2673,1.02606,0,0,0.699309,0.714819
1,8.12598,-2.10076,0,0,0.999415,0.0342148
2,7.96082,-1.37082,0,0,0.999917,0.0128594
3,8.01634,-0.662559,0,0,0.999858,0.0168501
4,10.3155,3.71474,0,0,-0.0109469,0.99994
5,9.11923,2.64738,0,0,-0.00656356,0.999978
6,9.12708,3.09042,0,0,-0.0250538,0.999686
7,9.16295,3.50181,0,0,-0.0135878,0.999908
8,9.20661,3.92956,0,0,-0.0150272,0.999887
9,9.17634,4.32207,0,0,-0.0103396,0.999947
10,9.23886,4.74698,0,0,-0.0247822,0.999693
11,9.28645,-2.09641,0,0,0.999699,0.0245166
12,9.42006,-1.41175,0,0,0.99997,0.00780281
13,9.4075,-0.656069,0,0,-0.999901,0.0140518
